time,Tctip[degC],TC1[degC],TC2[degC],TC3[degC],Power[V],Room[degC]
0,39.9,27.5,27.5,27.7,8.677,25.05
1,106.6,35.8,33,35.2,9.286,25.08
2,174,51.3,45.8,50.1,9.816,25.12
3,236.2,71,62.7,68.7,10.3,25.08
4,293.8,93.1,82.4,89.6,10.757,25.09
5,348.2,116.8,104,111.6,11.198,25.12
6,399.4,141.3,126.5,133.9,11.626,25.12
7,447.7,166,149.6,156.5,12.04,25.17
8,494.7,190.3,172.3,178.5,12.451,25.12
9,540.4,214.5,194.6,200,12.845,25.17
10,585.5,238.6,216.6,221,13.235,25.18
11,629.8,262.3,238.5,241.9,13.612,25.2
12,674.1,285.1,259.6,261.9,13.977,25.25
13,714.3,307.9,280.2,281.4,14.332,25.28
14,751.4,329.9,300.2,300.6,14.67,25.26
15,786.7,351.5,319.7,319.2,14.997,25.29
16,821.9,372.4,338.4,337.1,15.31,25.39
17,852.5,392.6,356.4,354.3,15.608,25.41
18,878.3,412.2,373.6,371,15.892,25.39
19,897.6,430.6,390.3,387.2,16.16,25.39
20,916.7,448.3,406.3,402.8,16.414,25.43
21,936.5,465.3,421.7,417.4,16.647,25.4
22,955.9,481.5,436.3,431.4,16.767,25.35
23,974.8,497,450.4,444.6,16.78,25.46
24,989.9,511.6,463.2,457,16.786,25.45
25,1004.3,524.6,475.1,468.5,16.79,25.43
26,1014,536.7,486.1,479,16.794,25.33
27,1023.8,547.9,495.9,488.4,16.796,25.29
28,1032.4,558,504.2,497.2,16.798,25.22
29,1038.5,567,511.5,505,16.801,25.23
30,1042.5,575,518.8,511.9,16.802,25.23
31,1047.6,582.2,524.9,518.4,16.803,25.23
32,1051.4,588.6,530,524.2,16.805,25.26
33,1056,594.1,535.7,529.2,16.806,25.29
34,1055.3,599,541.3,533.7,16.807,25.36
35,1056.1,603.9,545.6,538.2,16.807,25.38
36,1057.3,608,548.9,542.5,16.808,25.43
37,1058.6,611.9,551.9,546.3,16.808,25.48
38,1061,615.3,554.1,549.9,16.809,25.48
39,1060.5,618.6,557.4,553,16.809,25.51
40,1060.7,621.7,560.2,555.8,16.809,25.57
41,1061.1,623.9,563,558.3,16.81,25.59
42,1061.9,624.6,566.7,560.1,16.809,25.56
43,1062.4,626.6,570,562.2,16.81,25.56
44,1063.6,628.7,572.7,564.2,16.811,25.51
45,1063.3,630.9,575.1,566.4,16.811,25.45
46,1062.7,633,577.1,568.4,16.811,25.34
47,1063.4,635.2,579,570.3,16.812,25.3
48,1063.4,637.3,580.1,572.3,16.811,25.46
49,1062.8,639,581.9,574.1,16.812,25.51
50,1062.1,640.6,583.8,575.8,16.812,25.38
51,1061.4,642.1,585.7,577.4,16.813,25.35
52,1056.2,643.1,587.1,578.8,16.812,25.31
53,1062.7,644.3,588.3,580.5,16.813,25.36
54,1066.7,644.6,589.5,581.8,16.814,25.4
55,1065.8,645.7,590.4,582.7,16.815,25.36
56,1063.7,647.7,591,584.6,16.813,25.38
57,1063.7,649.2,591.8,586,16.813,25.39
58,1063.5,650.4,593.1,587.3,16.813,25.45
59,1065.4,651.4,595.1,588.3,16.814,25.51
60,1064.4,652.5,596.8,589.3,0,24.99
61,1024.1,647.3,594.2,586.7,0.001,25.05
62,971.8,634.4,583.9,577.7,0,25.02
63,922.7,617.6,569.1,564.8,0.001,24.95
64,877.5,599,552,550,0,24.97
65,837.5,579,534.5,534.2,-0.002,24.97
66,799.7,559.2,517.3,518.2,-0.002,24.92
67,765.8,539.8,501.5,502.2,0,24.83
68,737.5,521.3,485.1,486.6,0,24.86
69,710.4,503.6,469.8,471.7,-0.002,24.99
70,684.1,486.9,454.6,457.5,0,25.12
71,658.6,471.1,441.5,443.6,0,25.07
72,634,456.3,428.5,430.3,0,25.08
73,611.6,442.2,416.2,417.9,0,25.02
74,590.2,428.9,404.5,406.1,0,25.04
75,570.4,416.3,393.2,394.8,0,25.05
76,551.3,404.2,382.2,384.1,0,25.02
77,532.6,392.7,371.6,373.9,0,24.91
78,516.1,381.7,361.5,364.1,0,24.89
79,499.8,371.3,352.2,355,0,24.92
80,484.3,361.6,343.2,346.2,-0.002,24.91
